scenario,pool_id,status,solve_seconds,gap,n_variables,n_binaries,n_constraints,uncovered_seats,pay_cost,overtime_cost,time_limit_hit
rest_14h,MAN-B737-FO,FEASIBLE,60.101,0.0053461055563074,1528,1351,1664,0.0,76730.7034,0.0,True
rest_16h,BHX-A320-CPT,OPTIMAL,1.374,0.0014825684241032,1599,1421,1598,0.0,165297.8993,0.0,False
rest_16h,BHX-A320-FO,OPTIMAL,0.868,0.0047568872452661,1505,1327,1529,0.0,78092.7192,9.7907,False
rest_16h,BHX-E190-CPT,OPTIMAL,0.866,0.002213632221204,1045,907,1298,0.0,132640.0732,0.0,False
rest_16h,BHX-E190-FO,OPTIMAL,16.053,0.0025339837536595,1064,926,1332,0.0,65302.5077,0.0,False
rest_16h,EDI-A320-CPT,OPTIMAL,0.692,0.0014724565369706,905,770,1087,0.0,126996.7494,55.3003,False
rest_16h,EDI-A320-FO,OPTIMAL,1.28,0.0024706892690523,961,826,1151,0.0,62939.0935,194.2604,False
rest_16h,EDI-B737-CPT,OPTIMAL,0.732,0.0004985156658787,690,559,814,2.0,124812.0707,3949.6297,False
rest_16h,EDI-B737-FO,OPTIMAL,0.232,0.0024639576526607,872,741,1041,0.0,58976.0314,0.0,False
rest_16h,MAN-A320-CPT,OPTIMAL,1.227,0.0038842899960585,2818,2563,2471,0.0,238766.1257,1437.785,False
rest_16h,MAN-A320-FO,OPTIMAL,1.356,0.00328729095972,3331,3068,2931,0.0,120597.2888,0.0,False
rest_16h,MAN-B737-CPT,OPTIMAL,1.373,0.0023341294085246,1615,1438,1610,0.0,167551.3587,0.0,False
rest_16h,MAN-B737-FO,OPTIMAL,5.448,0.0040435573855032,1528,1351,1538,0.0,76383.2585,26.1432,False
max_50h_7d,BHX-A320-CPT,OPTIMAL,1.141,0.0024852074960801,1599,1421,1626,0.0,165400.7915,0.0,False
max_50h_7d,BHX-A320-FO,OPTIMAL,1.168,0.0046360960643153,1505,1327,1552,0.0,78074.1868,0.0,False
max_50h_7d,BHX-E190-CPT,OPTIMAL,0.761,0.0012363427969441,1045,907,1329,0.0,132791.8785,0.0,False
max_50h_7d,BHX-E190-FO,OPTIMAL,25.662,0.0047791547914896,1064,926,1362,0.0,65438.6343,0.0,False
max_50h_7d,EDI-A320-CPT,OPTIMAL,0.76,0.0026056245042251,905,770,1105,0.0,127016.3862,0.0,False
max_50h_7d,EDI-A320-FO,OPTIMAL,0.662,0.0033645450386576,961,826,1171,0.0,63024.826,165.1506,False
max_50h_7d,EDI-B737-CPT,OPTIMAL,0.706,0.0009021727116822,690,559,816,0.0,128151.3367,6273.306,False
max_50h_7d,EDI-B737-FO,OPTIMAL,0.39,0.0035449597365587,872,741,1037,0.0,59039.1743,0.0,False
max_50h_7d,MAN-A320-CPT,OPTIMAL,1.556,0.00256578789395,2818,2563,2345,0.0,238818.2408,1454.4528,False
max_50h_7d,MAN-A320-FO,OPTIMAL,1.577,0.002730888594929,3331,3068,2782,0.0,120420.4301,0.0,False
max_50h_7d,MAN-B737-CPT,OPTIMAL,0.959,0.0016500612498594,1615,1438,1619,0.0,167500.4529,0.0,False
max_50h_7d,MAN-B737-FO,FEASIBLE,59.985,0.0055191393289812,1528,1351,1557,0.0,76568.3634,0.0,True
max_4_days_7d,BHX-A320-CPT,OPTIMAL,0.852,0.0030918492160279,1599,1421,1625,0.0,165514.8739,0.0,False
max_4_days_7d,BHX-A320-FO,OPTIMAL,0.633,0.0038384888051848,1505,1327,1553,0.0,78282.4445,0.0,False
max_4_days_7d,BHX-E190-CPT,OPTIMAL,0.816,0.0023681242620254,1045,907,1327,0.0,132829.3658,0.0,False
max_4_days_7d,BHX-E190-FO,OPTIMAL,21.865,0.0020914872206109,1064,926,1361,0.0,65262.0614,0.0,False
max_4_days_7d,EDI-A320-CPT,OPTIMAL,0.694,0.0013429702794115,905,770,1103,0.0,127035.576,0.0,False
max_4_days_7d,EDI-A320-FO,OPTIMAL,0.872,0.0027812320656119,961,826,1169,0.0,63040.9984,87.2887,False
max_4_days_7d,EDI-B737-CPT,OPTIMAL,0.416,0.0004021914903337,690,559,812,4.0,122047.0923,2903.5811,False
max_4_days_7d,EDI-B737-FO,OPTIMAL,0.573,0.0027945777921505,872,741,1036,0.0,58947.4387,0.0,False
max_4_days_7d,MAN-A320-CPT,OPTIMAL,1.605,0.0022790746336718,2818,2563,2343,0.0,238635.0959,1550.9648,False
max_4_days_7d,MAN-A320-FO,OPTIMAL,0.966,0.0034911842127618,3331,3068,2780,0.0,120330.5756,0.0,False
max_4_days_7d,MAN-B737-CPT,OPTIMAL,0.913,0.0022396298578688,1615,1438,1619,0.0,167708.6546,0.0,False
max_4_days_7d,MAN-B737-FO,OPTIMAL,8.56,0.004610184729351,1528,1351,1556,0.0,76302.243,42.7904,False
cost_only,BHX-A320-CPT,OPTIMAL,1.047,0.004564348722115,1599,1421,1625,0.0,159802.4433,832.7136,False
cost_only,BHX-A320-FO,OPTIMAL,1.085,0.0011360348344273,1505,1327,1551,0.0,76128.5591,5.5469,False
cost_only,BHX-E190-CPT,OPTIMAL,0.572,0.004207875232075,1045,907,1327,0.0,126109.4871,778.1171,False
cost_only,BHX-E190-FO,OPTIMAL,0.498,0.0039998258815747,1064,926,1361,0.0,60173.507,2089.8406,False
cost_only,EDI-A320-CPT,OPTIMAL,0.5,0.0037937460435034,905,770,1101,0.0,123022.2713,157.6721,False
cost_only,EDI-A320-FO,OPTIMAL,0.508,0.0025980858866637,961,826,1168,0.0,62546.7765,71.43,False
cost_only,EDI-B737-CPT,OPTIMAL,0.556,0.0016399459487062,690,559,810,0.0,126291.8676,5154.8369,False
cost_only,EDI-B737-FO,OPTIMAL,0.455,0.001299157268444,872,741,1036,0.0,57254.8479,578.723,False
cost_only,MAN-A320-CPT,OPTIMAL,0.631,0.0033371907133177,2818,2563,2342,0.0,237245.4826,1105.6716,False
cost_only,MAN-A320-FO,OPTIMAL,1.202,0.0020968982808479,3331,3068,2780,0.0,116366.3003,684.2719,False
cost_only,MAN-B737-CPT,OPTIMAL,0.842,0.0035341206667721,1615,1438,1619,0.0,164200.5224,411.9821,False
cost_only,MAN-B737-FO,OPTIMAL,1.732,0.0032133913921475,1528,1351,1554,0.0,70582.1393,3214.0738,False
fairness_weight_5,BHX-A320-CPT,OPTIMAL,0.795,0.0029087829788236,1599,1421,1625,0.0,161704.7517,135.8413,False
fairness_weight_5,BHX-A320-FO,OPTIMAL,0.804,0.0020376878858633,1505,1327,1551,0.0,78157.8002,0.0,False
fairness_weight_5,BHX-E190-CPT,OPTIMAL,0.789,0.0013498822723341,1045,907,1327,0.0,127206.7572,272.7321,False
fairness_weight_5,BHX-E190-FO,OPTIMAL,0.4,0.0011664883440425,1064,926,1361,0.0,63332.5049,24.4275,False
fairness_weight_5,EDI-A320-CPT,OPTIMAL,1.196,0.0016027793154386,905,770,1101,0.0,123654.5951,44.2322,False
fairness_weight_5,EDI-A320-FO,OPTIMAL,0.746,0.001671797636297,961,826,1168,0.0,62909.6898,123.158,False
fairness_weight_5,EDI-B737-CPT,OPTIMAL,0.581,0.0024292323493618,690,559,810,0.0,126895.119,4963.843,False
fairness_weight_5,EDI-B737-FO,OPTIMAL,0.282,0.0012606689590971,872,741,1036,0.0,58694.0366,27.6385,False
fairness_weight_5,MAN-A320-CPT,OPTIMAL,1.994,0.0031562489267969,2818,2563,2342,0.0,237203.1387,1263.0787,False
fairness_weight_5,MAN-A320-FO,OPTIMAL,1.835,0.0013632891036485,3331,3068,2780,0.0,118859.5346,0.0,False
fairness_weight_5,MAN-B737-CPT,OPTIMAL,0.747,0.0020546707920267,1615,1438,1619,0.0,164768.0024,157.9983,False
fairness_weight_5,MAN-B737-FO,OPTIMAL,0.733,0.0011605536906739,1528,1351,1554,0.0,74926.9245,11.3399,False
fairness_weight_80,BHX-A320-CPT,OPTIMAL,0.95,0.002272803514323,1599,1421,1625,0.0,165616.1079,0.0,False
fairness_weight_80,BHX-A320-FO,OPTIMAL,1.056,0.0021142126094549,1505,1327,1551,0.0,78199.0214,0.0,False
fairness_weight_80,BHX-E190-CPT,OPTIMAL,1.01,0.0038051978564841,1045,907,1327,0.0,133167.4914,0.0,False
fairness_weight_80,BHX-E190-FO,OPTIMAL,4.669,0.0043738437408067,1064,926,1361,0.0,65397.3073,0.0,False
fairness_weight_80,EDI-A320-CPT,OPTIMAL,0.927,0.0020146528847661,905,770,1101,0.0,127081.0373,0.0,False
fairness_weight_80,EDI-A320-FO,OPTIMAL,0.558,0.0040864581394786,961,826,1168,0.0,62959.2477,276.5337,False
fairness_weight_80,EDI-B737-CPT,OPTIMAL,0.511,0.0043079397242169,690,559,810,0.0,129387.3737,8435.038,False
fairness_weight_80,EDI-B737-FO,OPTIMAL,0.835,0.0024235612073835,872,741,1036,0.0,58973.6432,0.0,False
fairness_weight_80,MAN-A320-CPT,OPTIMAL,1.159,0.0038556630948381,2818,2563,2342,0.0,238831.6122,3181.3292,False
fairness_weight_80,MAN-A320-FO,FEASIBLE,60.177,0.0131569358096695,3331,3068,2780,0.0,120374.1895,0.0,True
fairness_weight_80,MAN-B737-CPT,FEASIBLE,59.937,0.0053946263174452,1615,1438,1619,0.0,167549.431,0.0,True
fairness_weight_80,MAN-B737-FO,FEASIBLE,60.08,0.0059719178373954,1528,1351,1554,0.0,76779.0109,0.0,True
fairness_only,BHX-A320-CPT,FEASIBLE,59.945,0.2528676086160355,1599,1421,1625,0.0,165702.9947,0.0,True
fairness_only,BHX-A320-FO,FEASIBLE,59.952,0.220562645231039,1505,1327,1551,0.0,78385.1189,0.0,True
fairness_only,BHX-E190-CPT,OPTIMAL,33.636,0.001304651295207,1045,907,1327,0.0,132846.3181,0.0,False
fairness_only,BHX-E190-FO,OPTIMAL,4.919,0.0039330855154865,1064,926,1361,0.0,65401.2286,0.0,False
fairness_only,EDI-A320-CPT,OPTIMAL,0.461,0.0020419374451388,905,770,1101,0.0,127124.5804,0.0,False
fairness_only,EDI-A320-FO,OPTIMAL,0.982,0.0027594859646691,961,826,1168,0.0,62869.3987,281.8664,False
fairness_only,EDI-B737-CPT,OPTIMAL,9.931,0.0018941654591861,690,559,810,0.0,129214.563,8274.8647,False
fairness_only,EDI-B737-FO,OPTIMAL,0.532,0.003822621762831,872,741,1036,0.0,59056.7516,0.0,False
fairness_only,MAN-A320-CPT,FEASIBLE,60.684,0.0956532081938685,2818,2563,2342,0.0,239515.1237,3884.0197,True
fairness_only,MAN-A320-FO,OPTIMAL,1.047,0.0033548922878011,3331,3068,2780,0.0,120645.7535,0.0,False
fairness_only,MAN-B737-CPT,OPTIMAL,0.761,0.0028018149934999,1615,1438,1619,0.0,167813.1815,0.0,False
fairness_only,MAN-B737-FO,OPTIMAL,39.411,0.0039383533984197,1528,1351,1554,0.0,76621.7636,0.0,False
sickness_wave_edi_b737,BHX-A320-CPT,OPTIMAL,0.67,0.0029305965294783,1599,1421,1625,0.0,164838.1855,0.0,False
sickness_wave_edi_b737,BHX-A320-FO,OPTIMAL,1.205,0.0046360960643153,1505,1327,1551,0.0,78074.1868,0.0,False
sickness_wave_edi_b737,BHX-E190-CPT,OPTIMAL,0.853,0.0019064570078631,1045,907,1327,0.0,132749.468,0.0,False
sickness_wave_edi_b737,BHX-E190-FO,OPTIMAL,0.759,0.0044801193266677,1064,926,1361,0.0,65408.9642,0.0,False
sickness_wave_edi_b737,EDI-A320-CPT,OPTIMAL,0.949,0.0030047135755022,905,770,1101,0.0,126823.9496,241.7117,False
sickness_wave_edi_b737,EDI-A320-FO,OPTIMAL,0.651,0.0025833519627185,961,826,1168,0.0,63000.8353,134.9148,False
sickness_wave_edi_b737,EDI-B737-CPT,OPTIMAL,0.754,0.0002824584381536,624,493,741,3.0,123631.9717,3267.9519,False
sickness_wave_edi_b737,EDI-B737-FO,OPTIMAL,0.316,0.0035449597365587,872,741,1036,0.0,59039.1743,0.0,False
sickness_wave_edi_b737,MAN-A320-CPT,OPTIMAL,0.952,0.00256578789395,2818,2563,2342,0.0,238818.2408,1454.4528,False
sickness_wave_edi_b737,MAN-A320-FO,OPTIMAL,0.87,0.0037152070600393,3331,3068,2780,0.0,120342.3223,0.0,False
sickness_wave_edi_b737,MAN-B737-CPT,OPTIMAL,0.721,0.0023426573650117,1615,1438,1619,0.0,167142.0028,0.0,False
sickness_wave_edi_b737,MAN-B737-FO,OPTIMAL,0.482,0.0048038319515612,1528,1351,1554,0.0,76408.3436,19.0148,False
